CSDUID,CSDNAME,Type,Price,Location,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,location
3528018,Haldimand County,3,1875,"43.0788876,-79.9592147",2,1,1,1,1,500,1,52719,"42.96738873, -80.04801284"
3528052,Norfolk County,2,1900,"42.8550114,-80.4978223",3,1,0,0,0,1400,1,71506,"42.83110128, -80.63239781"
3529005,Brant,4,1950,"43.2100585,-80.4054266",2,1,0,0,0,1200,1,41899,"43.2045736, -80.3870839"
3529006,Brantford,1,2105,"43.1849319,-80.249121",2,2,0,1,0,950,1,110617,"43.14755536, -80.23320331"
3530010,Cambridge,3,1600,"43.4493356,-80.3092978",2.5,1,1,1,1,500,1,146566,"43.39701529, -80.34420357"
3530013,Kitchener,6,2250,"43.482099,-80.4670327",3,1,0,0,0,1100,1,282375,"43.4633353, -80.45872131"
3530016,Waterloo,4,1800,"43.5143729,-80.5195481",1,1,0,0,0,518,1,129054,"43.4562434, -80.54209083"
3530020,Wilmot,6,2499,"43.434896,-80.628745",2,1,0,1,1,1000,1,22373,"43.38053997, -80.70159538"
3530035,Woolwich,1,1600,"43.6013052,-80.5622035",2,1,0,1,1,662,1,28657,"43.59297082, -80.57796106"
3531011,Stratford,2,3500,"43.3885145,-80.9901244",3,2.5,0,0,0,2100,2,34532,"43.37141906, -80.94661975"
3531016,St. Marys,1,1550,"43.2619202,-81.1398039",1,1,0,0,0,600,1,7916,"43.25156843, -81.1333145"
3531025,West Perth,1,1200,"43.466763,-81.19611",1,1,1,1,1,600,2,9672,"43.47396537, -81.20189084"
3531030,Perth East,2,2900,"43.369623,-80.837023",2.5,2,0,0,0,1100,2,13409,"43.52179349, -80.91997886"
3531040,North Perth,3,1250,"43.7398386,-80.9598586",1,1,1,1,1,500,1,16380,"43.72273922, -80.95335159"
3532002,Norwich,2,2000,"42.986643,-80.6047649",4.5,1.5,0,0,1,1700,1,12186,"42.98864051, -80.59258351"
3532004,Tillsonburg,4,1850,"42.8806289,-80.7456176",2,1,0,0,1,1000,1,18554,"42.85929058, -80.70325263"
3532012,South-West Oxford,2,3100,"43.0249622,-80.7768613",4,3.5,0,0,0,2000,1,8338,"42.923935, -80.765673"
3532018,Ingersoll,2,2100,"43.0451539,-80.8733216",2,2,0,0,0,1150,1,14485,"43.032068, -80.875459"
